# c1_x c1_y c1_z c2_x c2_y c2_z obs_x obs_y obs_z Bx By Bz cs
-600 0 0 600 0 0 -176 368 0 49.3163 -233.674 35.5097 1
-600 0 0 600 0 0 -176 400 0 49.1638 -218.926 32.8675 1
-600 0 0 600 0 0 -144 -400 0 -38.4233 -218.956 -35.1434 1
-600 0 0 600 0 0 -144 -368 0 -38.0997 -233.089 -38.272 1
-600 0 0 600 0 0 -144 -336 0 -36.8224 -247.825 -41.7 1
-600 0 0 600 0 0 -144 -304 0 -35.2272 -264.465 -45.2277 1
-600 0 0 600 0 0 -144 -272 0 -32.3496 -281.545 -48.6456 1
-600 0 0 600 0 0 -144 -240 0 -29.2888 -301.321 -52.0478 1
-600 0 0 600 0 0 -144 -208 0 -25.2535 -321.434 -53.2972 1
-600 0 0 600 0 0 -144 -176 0 -21.3332 -343.902 -53.3068 1
-600 0 0 600 0 0 -144 -144 0 -18.218 -364.966 -44.6386 1
-600 0 0 600 0 0 -144 -112 0 -14.9324 -379.947 -35.6031 1
-600 0 0 600 0 0 -144 -80 0 -11.1356 -392.565 -25.4654 1
-600 0 0 600 0 0 -144 -48 0 -7.0101 -399.988 -15.3034 1
-600 0 0 600 0 0 -144 -16 0 -2.3367 -404.163 -5.10114 1
-600 0 0 600 0 0 -144 16 0 2.3367 -404.163 5.10114 1
-600 0 0 600 0 0 -144 48 0 7.0101 -399.988 15.3034 1
-600 0 0 600 0 0 -144 80 0 11.1356 -392.565 25.4654 1
-600 0 0 600 0 0 -144 112 0 14.9324 -379.947 35.6031 1
-600 0 0 600 0 0 -144 144 0 18.218 -364.966 44.6386 1
-600 0 0 600 0 0 -144 176 0 21.3332 -343.902 53.3068 1
-600 0 0 600 0 0 -144 208 0 25.2535 -321.434 53.2972 1
-600 0 0 600 0 0 -144 240 0 29.2888 -301.321 52.0478 1
-600 0 0 600 0 0 -144 272 0 32.3496 -281.545 48.6456 1
-600 0 0 600 0 0 -144 304 0 35.2272 -264.465 45.2277 1
-600 0 0 600 0 0 -144 336 0 36.8224 -247.825 41.7 1
-600 0 0 600 0 0 -144 368 0 38.0997 -233.089 38.272 1
-600 0 0 600 0 0 -144 400 0 38.4233 -218.956 35.1434 1
-600 0 0 600 0 0 -112 -400 0 -29.0708 -218.9 -37.2422 1
-600 0 0 600 0 0 -112 -368 0 -28.6327 -232.473 -40.8218 1
-600 0 0 600 0 0 -112 -336 0 -27.4349 -246.592 -44.8759 1
-600 0 0 600 0 0 -112 -304 0 -25.984 -262.545 -49.0881 1
-600 0 0 600 0 0 -112 -272 0 -23.5782 -278.922 -53.4555 1
-600 0 0 600 0 0 -112 -240 0 -21.0358 -298.236 -57.8451 1
-600 0 0 600 0 0 -112 -208 0 -17.9014 -317.961 -60.1662 1
-600 0 0 600 0 0 -112 -176 0 -14.8648 -340.905 -60.9588 1
-600 0 0 600 0 0 -112 -144 0 -12.5137 -362.3 -51.0516 1
-600 0 0 600 0 0 -112 -112 0 -10.0977 -376.977 -40.7095 1
-600 0 0 600 0 0 -112 -80 0 -7.48731 -389.255 -29.0627 1
-600 0 0 600 0 0 -112 -48 0 -4.68465 -396.259 -17.4267 1
-600 0 0 600 0 0 -112 -16 0 -1.56155 -400.198 -5.80891 1
-600 0 0 600 0 0 -112 16 0 1.56155 -400.198 5.80891 1
-600 0 0 600 0 0 -112 48 0 4.68465 -396.259 17.4267 1
-600 0 0 600 0 0 -112 80 0 7.48731 -389.255 29.0627 1
-600 0 0 600 0 0 -112 112 0 10.0977 -376.977 40.7095 1
-600 0 0 600 0 0 -112 144 0 12.5137 -362.3 51.0516 1
-600 0 0 600 0 0 -112 176 0 14.8648 -340.905 60.9588 1
-600 0 0 600 0 0 -112 208 0 17.9014 -317.961 60.1662 1
-600 0 0 600 0 0 -112 240 0 21.0358 -298.236 57.8451 1
-600 0 0 600 0 0 -112 272 0 23.5782 -278.922 53.4555 1
-600 0 0 600 0 0 -112 304 0 25.984 -262.545 49.0881 1
-600 0 0 600 0 0 -112 336 0 27.4349 -246.592 44.8759 1
-600 0 0 600 0 0 -112 368 0 28.6327 -232.473 40.8218 1
-600 0 0 600 0 0 -112 400 0 29.0708 -218.9 37.2422 1
-600 0 0 600 0 0 -80 -400 0 -20.0831 -218.591 -38.8094 1
-600 0 0 600 0 0 -80 -368 0 -19.6146 -231.764 -42.7337 1
-600 0 0 600 0 0 -80 -336 0 -18.5899 -245.451 -47.2527 1
-600 0 0 600 0 0 -80 -304 0 -17.3796 -260.971 -51.9699 1
-600 0 0 600 0 0 -80 -272 0 -15.5247 -276.914 -56.9663 1
-600 0 0 600 0 0 -80 -240 0 -13.5777 -296.044 -62.0026 1
-600 0 0 600 0 0 -80 -208 0 -11.3464 -315.635 -64.8065 1
-600 0 0 600 0 0 -80 -176 0 -9.1914 -338.95 -65.9436 1
-600 0 0 600 0 0 -80 -144 0 -7.57011 -360.648 -55.4121 1
-600 0 0 600 0 0 -80 -112 0 -5.95858 -375.34 -44.3477 1
-600 0 0 600 0 0 -80 -80 0 -4.37635 -387.584 -31.6841 1
-600 0 0 600 0 0 -80 -48 0 -2.70996 -394.444 -19.0155 1
-600 0 0 600 0 0 -80 -16 0 -0.903319 -398.303 -6.3385 1
-600 0 0 600 0 0 -80 16 0 0.903319 -398.303 6.3385 1
-600 0 0 600 0 0 -80 48 0 2.70996 -394.444 19.0155 1
-600 0 0 600 0 0 -80 80 0 4.37635 -387.584 31.6841 1
-600 0 0 600 0 0 -80 112 0 5.95858 -375.34 44.3477 1
-600 0 0 600 0 0 -80 144 0 7.57011 -360.648 55.4121 1
-600 0 0 600 0 0 -80 176 0 9.1914 -338.95 65.9436 1
-600 0 0 600 0 0 -80 208 0 11.3464 -315.635 64.8065 1
-600 0 0 600 0 0 -80 240 0 13.5777 -296.044 62.0026 1
-600 0 0 600 0 0 -80 272 0 15.5247 -276.914 56.9663 1
-600 0 0 600 0 0 -80 304 0 17.3796 -260.971 51.9699 1
