# c1_x c1_y c1_z c2_x c2_y c2_z p1_x p1_y p1_z p2_x p2_y p2_z V cs
-600 0 0 600 0 0 112 -336 0 176 -336 0 30.5212 1
-600 0 0 600 0 0 144 -336 0 208 -336 0 33.9284 1
-600 0 0 600 0 0 176 -336 0 240 -336 0 37.4785 1
-600 0 0 600 0 0 208 -336 0 272 -336 0 40.7172 1
-600 0 0 600 0 0 240 -336 0 304 -336 0 43.0458 1
-600 0 0 600 0 0 272 -336 0 336 -336 0 45.202 1
-600 0 0 600 0 0 304 -336 0 368 -336 0 46.0294 1
-600 0 0 600 0 0 336 -336 0 400 -336 0 46.3941 1
-600 0 0 600 0 0 -400 -304 0 -368 -304 0 27.9119 1
-600 0 0 600 0 0 -368 -304 0 -336 -304 0 28.039 1
-600 0 0 600 0 0 -336 -304 0 -304 -304 0 26.7185 1
-600 0 0 600 0 0 -304 -304 0 -272 -304 0 26.4138 1
-600 0 0 600 0 0 -272 -304 0 -240 -304 0 23.5981 1
-600 0 0 600 0 0 -240 -304 0 -208 -304 0 23.1451 1
-600 0 0 600 0 0 -208 -304 0 -176 -304 0 19.1652 1
-600 0 0 600 0 0 -176 -304 0 -144 -304 0 18.2524 1
-600 0 0 600 0 0 -144 -304 0 -112 -304 0 14.2973 1
-600 0 0 600 0 0 -112 -304 0 -80 -304 0 13.3279 1
-600 0 0 600 0 0 -80 -304 0 -48 -304 0 11.1953 1
-600 0 0 600 0 0 -48 -304 0 -16 -304 0 10.7521 1
-600 0 0 600 0 0 -16 -304 0 16 -304 0 10.1823 1
-600 0 0 600 0 0 16 -304 0 48 -304 0 10.7521 1
-600 0 0 600 0 0 48 -304 0 80 -304 0 11.1953 1
-600 0 0 600 0 0 80 -304 0 112 -304 0 13.3279 1
-600 0 0 600 0 0 112 -304 0 144 -304 0 14.2973 1
-600 0 0 600 0 0 144 -304 0 176 -304 0 18.2524 1
-600 0 0 600 0 0 176 -304 0 208 -304 0 19.1652 1
-600 0 0 600 0 0 208 -304 0 240 -304 0 23.1451 1
-600 0 0 600 0 0 240 -304 0 272 -304 0 23.5981 1
-600 0 0 600 0 0 272 -304 0 304 -304 0 26.4138 1
-600 0 0 600 0 0 304 -304 0 336 -304 0 26.7185 1
-600 0 0 600 0 0 336 -304 0 368 -304 0 28.039 1
-600 0 0 600 0 0 368 -304 0 400 -304 0 27.9119 1
-600 0 0 600 0 0 -400 -304 0 -336 -304 0 55.9509 1
-600 0 0 600 0 0 -368 -304 0 -304 -304 0 54.7576 1
-600 0 0 600 0 0 -336 -304 0 -272 -304 0 53.1324 1
-600 0 0 600 0 0 -304 -304 0 -240 -304 0 50.0119 1
-600 0 0 600 0 0 -272 -304 0 -208 -304 0 46.7431 1
-600 0 0 600 0 0 -240 -304 0 -176 -304 0 42.3102 1
-600 0 0 600 0 0 -208 -304 0 -144 -304 0 37.4176 1
-600 0 0 600 0 0 -176 -304 0 -112 -304 0 32.5497 1
-600 0 0 600 0 0 -144 -304 0 -80 -304 0 27.6252 1
-600 0 0 600 0 0 -112 -304 0 -48 -304 0 24.5233 1
-600 0 0 600 0 0 -80 -304 0 -16 -304 0 21.9475 1
-600 0 0 600 0 0 -48 -304 0 16 -304 0 20.9345 1
-600 0 0 600 0 0 -16 -304 0 48 -304 0 20.9345 1
-600 0 0 600 0 0 16 -304 0 80 -304 0 21.9475 1
-600 0 0 600 0 0 48 -304 0 112 -304 0 24.5233 1
-600 0 0 600 0 0 80 -304 0 144 -304 0 27.6252 1
-600 0 0 600 0 0 112 -304 0 176 -304 0 32.5497 1
-600 0 0 600 0 0 144 -304 0 208 -304 0 37.4176 1
-600 0 0 600 0 0 176 -304 0 240 -304 0 42.3102 1
-600 0 0 600 0 0 208 -304 0 272 -304 0 46.7431 1
-600 0 0 600 0 0 240 -304 0 304 -304 0 50.0119 1
-600 0 0 600 0 0 272 -304 0 336 -304 0 53.1324 1
-600 0 0 600 0 0 304 -304 0 368 -304 0 54.7576 1
-600 0 0 600 0 0 336 -304 0 400 -304 0 55.9509 1
-600 0 0 600 0 0 -400 -272 0 -368 -272 0 33.1177 1
-600 0 0 600 0 0 -368 -272 0 -336 -272 0 33.0329 1
-600 0 0 600 0 0 -336 -272 0 -304 -272 0 30.9956 1
-600 0 0 600 0 0 -304 -272 0 -272 -272 0 30.5255 1
-600 0 0 600 0 0 -272 -272 0 -240 -272 0 26.8387 1
-600 0 0 600 0 0 -240 -272 0 -208 -272 0 26.2513 1
-600 0 0 600 0 0 -208 -272 0 -176 -272 0 21.1267 1
-600 0 0 600 0 0 -176 -272 0 -144 -272 0 19.9146 1
-600 0 0 600 0 0 -144 -272 0 -112 -272 0 14.6624 1
-600 0 0 600 0 0 -112 -272 0 -80 -272 0 13.4377 1
-600 0 0 600 0 0 -80 -272 0 -48 -272 0 10.7436 1
-600 0 0 600 0 0 -48 -272 0 -16 -272 0 10.2032 1
-600 0 0 600 0 0 -16 -272 0 16 -272 0 9.50838 1
